season,number,title,air_date
1,1,the Deadly Drekavac,05-25-2025
1,2,the Dance of Doom,05-26-2025
1,3,the Ghost Train,06-02-2025
1,4,the Thief of Love,06-09-2025
1,5,the Memory Crystal,06-16-2025
1,6,the House of Cards,06-23-2025
1,7,the Con-Con,06-30-2025
1,8,the Hangover from Hell,07-07-2025
1,9,the Feast of the Vampire,07-14-2025
1,10,Going Medieval,07-21-2025
1,11,the Graffiti of the Gods,07-28-2025
1,12,the Unfinished Business,08-04-2025
