season,number,title,air_date
8,9,Citizen Fang,12-5-2012
8,10,Torn and Frayed,1-16-2013
8,11,LARP and the Real Girl,1-23-2013
8,12,As Time Goes By,1-30-2013
8,13,Everybody Hates Hitler,2-6-2013
8,14,Trial and Error,2-13-2013
8,15,Man's Best Friend with Benefits,2-20-2013
8,16,Remember the Titans,2-27-2013
8,17,Goodbye Stranger,3-20-2013
8,18,Freaks and Geeks,3-27-2013
8,19,Taxi Driver,4-3-2013
8,20,Pac-Man Fever,4-24-2013
8,21,The Great Escapist,5-1-2013
8,22,Clip Show,5-8-2013
8,23,Sacrifice,5-15-2013
9,1,I Think I'm Gonna Like It Here,10-8-2013
9,2,Devil May Care,10-15-2013
9,3,I'm No Angel,10-22-2013
9,4,Slumber Party,10-29-2013
9,5,Dog Dean Afternoon,11-5-2013
9,6,Heaven Can't Wait,11-12-2013
9,7,Bad Boys,11-19-2013
9,8,Rock and a Hard Place,11-26-2013
9,9,Holy Terror,12-3-2013
9,10,Road Trip,1-14-2014
9,11,First Born,1-21-2014
9,12,Sharp Teeth,1-28-2014
9,13,The Purge,2-4-2014
9,14,Captives,2-25-2014
9,15,#THINMAN,3-4-2014
9,16,Blade Runners,3-18-2014
9,17,Mother's Little Helper,3-25-2014
9,18,Meta Fiction,4-15-2014
9,19,Alex Annie Alexis Ann,4-22-2014
9,20,Bloodlines,4-29-2014
9,21,King of the Damned,5-6-2014
9,22,Stairway to Heaven,5-13-2014
9,23,Do You Believe in Miracles?,5-20-2014
10,1,Black,10-7-2014
10,2,Reichenbach,10-14-2014
10,3,Soul Survivor,10-21-2014
10,4,Paper Moon,10-28-2014
10,5,Fan Fiction,11-11-2014
10,6,Ask Jeeves,11-18-2014
10,7,"Girls, Girls, Girls",11-25-2014
10,8,Hibbing 911,12-2-2014
10,9,The Things We Left Behind,12-9-2014
10,10,The Hunter Games,1-20-2015
10,11,There's No Place Like Home,1-27-2015
10,12,About a Boy,2-3-2015
10,13,Halt & Catch Fire,2-10-2015
10,14,The Executioner's Song,2-17-2015
10,15,The Things They Carried,3-18-2015
10,16,Paint It Black,3-25-2015
10,17,Inside Man,4-1-2015
10,18,Book of the Damned,4-15-2015
10,19,The Werther Project,4-22-2015
10,20,Angel Heart,4-29-2015
10,21,Dark Dynasty,5-6-2015
10,22,The Prisoner,5-13-2015
10,23,Brother's Keeper,5-20-2015
11,1,"Out of the Darkness, Into the Fire",10-7-2015
11,2,Form and Void,10-14-2015
11,3,The Bad Seed,10-21-2015
11,4,Baby,10-28-2015
11,5,Thin Lizzie,11-4-2015
11,6,Our Little World,11-11-2015
11,7,Plush,11-18-2015
11,8,Just My Imagination,12-2-2015
11,9,O Brother Where Art Thou?,12-9-2015
11,10,The Devil in the Details,1-20-2016
11,11,Into the Mystic,1-27-2016
11,12,Don't You Forget About Me,2-3-2016
11,13,Love Hurts,2-10-2016
11,14,The Vessel,2-17-2016
11,15,Beyond the Mat,2-24-2016
11,16,Safe House,3-23-2016
11,17,Red Meat,3-30-2016
11,18,Hell's Angel,4-6-2016
11,19,The Chitters,4-27-2016
11,20,Don't Call Me Shurley,5-4-2016
11,21,All in the Family,5-11-2016
11,22,We Happy Few,5-18-2016
11,23,Alpha and Omega,5-25-2016
12,1,Keep Calm and Carry On,10-13-2016
12,2,Mamma Mia,10-20-2016
12,3,The Foundry,10-27-2016
12,4,American Nightmare,11-3-2016
12,5,The One You've Been Waiting For,11-10-2016
12,6,Celebrating the Life of Asa Fox,11-17-2016
12,7,Rock Never Dies,12-1-2016
12,8,LOTUS,12-8-2016
12,9,First Blood,1-26-2017
12,10,Lily Sunder Has Some Regrets,2-2-2017
12,11,Regarding Dean,2-9-2017
12,12,Stuck in the Middle (With You),2-16-2017
12,13,Family Feud,2-23-2017
12,14,The Raid,3-2-2017
12,15,Somewhere Between Heaven and Hell,3-9-2017
12,16,Ladies Drink Free,3-30-2017
12,17,The British Invasion,4-6-2017
12,18,The Memory Remains,4-13-2017
12,19,The Future,4-27-2017
12,20,Twigs & Twine & Tasha Banes,5-4-2017
12,21,There's Something About Mary,5-11-2017
12,22,Who We Are,5-18-2017
12,23,All Along the Watchtower,5-18-2017
13,1,Lost and Found,10-12-2017
13,2,The Rising Son,10-19-2017
13,3,Patience,10-26-2017
13,4,The Big Empty,11-2-2017
13,5,Advanced Thanatology,11-9-2017
13,6,Tombstone,11-16-2017
13,7,War of the Worlds,11-23-2017
13,8,The Scorpion and the Frog,11-30-2017
13,9,The Bad Place,12-7-2017
13,10,Wayward Sisters,1-18-2018
13,11,Breakdown,1-25-2018
13,12,Various & Sundry Villains,2-1-2018
13,13,Devil's Bargain,2-8-2018
13,14,Good Intentions,3-1-2018
13,15,A Most Holy Man,3-8-2018
13,16,Scoobynatural,3-29-2018
13,17,The Thing,4-5-2018
13,18,Bring 'em Back Alive,4-12-2018
13,19,Funeralia,4-19-2018
13,20,Unfinished Business,4-26-2018
13,21,Beat the Devil,5-3-2018
13,22,Exodus,5-10-2018
13,23,Let the Good Times Roll,5-17-2018
14,1,Stranger in a Strange Land,10-11-2018
14,2,Gods and Monsters,10-18-2018
14,3,The Scar,10-25-2018
14,4,Mint Condition,11-1-2018
14,5,Nightmare Logic,11-8-2018
14,6,Optimism,11-15-2018
14,7,Unhuman Nature,11-29-2018
14,8,Byzantium,12-6-2018
14,9,The Spear,12-13-2018
14,10,Nihilism,1-17-2019
14,11,Damaged Goods,1-24-2019
14,12,Prophet and Loss,1-31-2019
14,13,Lebanon,2-7-2019
14,14,Ouroboros,3-7-2019
14,15,Peace of Mind,3-14-2019
14,16,Don't Go in the Woods,3-21-2019
14,17,Game Night,4-4-2019
14,18,Absence,4-11-2019
14,19,Jack in the Box,4-18-2019
14,20,Moriah,4-25-2019
15,1,Back and to the Future,10-10-2019
15,2,Raising Hell,10-17-2019
15,3,The Rupture,10-24-2019
15,4,Atomic Monsters,11-7-2019
15,5,Proverbs 17:3,11-14-2019
15,6,Golden Time,11-21-2019
15,7,Last Call,12-5-2019
15,8,"Our Father, Who Aren't in Heaven",12-12-2019
15,9,The Trap,1-16-2020
15,10,The Heroes' Journey,1-23-2020
15,11,The Gamblers,1-30-2020
15,12,Galaxy Brain,3-16-2020
15,13,Destiny's Child,3-23-2020
15,14,Last Holiday,10-8-2020
15,15,Gimme Shelter,10-15-2020
15,16,Drag Me Away (From You),10-22-2020
15,17,Unity,10-29-2020
15,18,Despair,11-5-2020
15,19,Inherit the Earth,11-12-2020
15,20,Carry On,11-19-2020
